               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068559,            0.018905,                   0,              0.8193,             0.75399,             0.84571,              0.4483,            0.040186,           0.0081435,                   0,            0.070132,           0.0033187,           0.0033187
                   1,            0.043065,            0.011183,                   0,             0.90424,             0.89477,              0.9253,             0.56267,            0.033281,           0.0060481,                   0,             0.04011,           0.0066301,           0.0066301
                   2,             0.03909,            0.009048,                   0,              0.9561,             0.88337,             0.93131,             0.50094,            0.034866,           0.0058475,                   0,            0.010066,           0.0099195,           0.0099195
                   3,            0.033974,           0.0080168,                   0,             0.95051,              0.9139,              0.9507,             0.59299,            0.028078,           0.0053886,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.030011,           0.0075286,                   0,             0.96325,             0.92665,              0.9612,             0.62215,            0.026572,           0.0051203,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.028281,           0.0071676,                   0,             0.97569,             0.93247,             0.96503,             0.64082,            0.026065,           0.0049477,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.027295,           0.0071079,                   0,             0.97075,             0.93754,             0.96741,             0.64174,            0.025763,           0.0047318,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.02712,           0.0069311,                   0,             0.96755,             0.93735,             0.97023,             0.63936,            0.025768,            0.004838,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.026268,           0.0069078,                   0,             0.97209,              0.9363,              0.9701,             0.65612,            0.025092,           0.0047165,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.025753,            0.006664,                   0,             0.98441,             0.93531,             0.97184,             0.65156,            0.025255,           0.0047976,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.025648,           0.0066264,                   0,             0.97693,             0.94538,             0.96933,             0.65438,            0.025287,           0.0046903,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.025143,           0.0065715,                   0,              0.9802,             0.94725,             0.97149,             0.66267,            0.025114,           0.0046309,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.025018,           0.0065378,                   0,             0.98533,             0.94579,             0.97353,             0.66734,            0.024014,           0.0046421,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.024533,           0.0065669,                   0,             0.98307,              0.9523,             0.97451,             0.67355,            0.024242,            0.004492,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.024481,           0.0064859,                   0,             0.98246,             0.94943,             0.96962,             0.66361,            0.025349,           0.0046161,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.024361,           0.0064685,                   0,             0.98154,             0.94442,             0.97248,             0.67425,            0.024069,           0.0045016,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.024004,           0.0063835,                   0,             0.97785,             0.94543,             0.97308,             0.67126,            0.024263,           0.0046245,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.024008,             0.00641,                   0,             0.98436,             0.94643,             0.97336,             0.68091,            0.024036,            0.004512,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.023903,           0.0063361,                   0,             0.97364,             0.95353,             0.97472,             0.67835,            0.023763,           0.0045304,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.02361,           0.0062745,                   0,             0.97633,             0.94852,             0.97219,             0.67263,            0.023881,           0.0045201,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.023685,           0.0063279,                   0,             0.98862,             0.94987,             0.97504,             0.67586,            0.023837,             0.00442,                   0,            0.009373,            0.009373,            0.009373
